"","X","head_neck","shoulder_arm","hand","pelvis","leg","foot","trunk"
"1","acrobatics/gymnastics",0.0194174757281553,0.526699029126214,0.207928802588997,0.00161812297734628,0.0558252427184466,0.182038834951456,0.00647249190938511
"2","all-terrain vehicles (number of wheels not specified)",0.0681818181818182,0.28030303030303,0.159090909090909,0.0454545454545455,0.143939393939394,0.0984848484848485,0.204545454545455
"3","altar",0.195121951219512,0.317073170731707,0.195121951219512,0.0487804878048781,0.0731707317073171,0.0975609756097561,0.0731707317073171
"4","ball pits",0.0233918128654971,0.606237816764133,0.161793372319688,0.00584795321637427,0.105263157894737,0.0818713450292398,0.0155945419103314
"5","ball sports (not specified)",0.0693069306930693,0.128712871287129,0.623762376237624,0.0099009900990099,0.0495049504950495,0.118811881188119,0
"6","banisters",0.0588235294117647,0.382352941176471,0.264705882352941,0,0,0.117647058823529,0.176470588235294
"7","baseball",0.291666666666667,0.183024691358025,0.333024691358025,0.0101851851851852,0.0734567901234568,0.0987654320987654,0.00987654320987654
"8","basketball",0.0843815513626834,0.142426624737945,0.454271488469602,0.00471698113207547,0.0931603773584906,0.212395178197065,0.00864779874213836
"9","bathroom stall door",0.0555555555555556,0.138888888888889,0.638888888888889,0,0,0.166666666666667,0
"10","benches",0.134831460674157,0.393258426966292,0.202247191011236,0.0112359550561798,0.0786516853932584,0.112359550561798,0.0674157303370786
"11","bicycle pumps",0.0777891504605936,0.408393039918117,0.265097236438076,0.0286591606960082,0.0634595701125896,0.0849539406345957,0.0716479017400205
"12","bleachers",0.140625,0.3046875,0.140625,0.03125,0.140625,0.1875,0.0546875
"13","bounce house",0.0432276657060519,0.38328530259366,0.201729106628242,0.00288184438040346,0.161383285302594,0.164265129682997,0.0432276657060519
"14","bouncy balls",0.0357142857142857,0.25,0.5,0.0178571428571429,0.125,0.0714285714285714,0
"15","bowling",0.00854700854700855,0.131054131054131,0.603988603988604,0.037037037037037,0.0541310541310541,0.142450142450142,0.0227920227920228
"16","bridles (horseback riding)",0.0611961057023644,0.325452016689847,0.19749652294854,0.0375521557719054,0.0973574408901252,0.0611961057023644,0.219749652294854
"17","built-in swimming pools",0.0566037735849057,0.169811320754717,0.113207547169811,0,0.132075471698113,0.452830188679245,0.0754716981132075
"18","ceilings and walls",0.0413223140495868,0.264462809917355,0.479338842975207,0,0.0495867768595041,0.148760330578512,0.0165289256198347
"19","cheerleading",0.10989010989011,0.428571428571429,0.241758241758242,0.00824175824175824,0.0521978021978022,0.137362637362637,0.021978021978022
"20","cleats",0.038961038961039,0.103896103896104,0.168831168831169,0.012987012987013,0.12987012987013,0.532467532467532,0.012987012987013
"21","climbing apparatus, playground",0.00690226394257316,0.726946438431806,0.196300386526781,0.000276090557702927,0.0325786858089453,0.0311982330204307,0.00579790171176146
"22","dancing",0.0395480225988701,0.161016949152542,0.217514124293785,0.0395480225988701,0.107344632768362,0.432203389830508,0.00282485875706215
"23","deer/tree stands",0.0810810810810811,0.0675675675675676,0.0540540540540541,0.0540540540540541,0.121621621621622,0.243243243243243,0.378378378378378
"24","diving board",0.444444444444444,0.0864197530864197,0.0987654320987654,0.0123456790123457,0.0740740740740741,0.185185185185185,0.0987654320987654
"25","fence/fence post",0.029126213592233,0.407766990291262,0.184466019417476,0.00970873786407767,0.145631067961165,0.16504854368932,0.058252427184466
"26","field hockey",0.138297872340426,0.0851063829787234,0.627659574468085,0,0.0425531914893617,0.106382978723404,0
"27","fishing",0.0520833333333333,0.161458333333333,0.182291666666667,0.046875,0.197916666666667,0.229166666666667,0.130208333333333
"28","flying discs or boomerangs",0.144230769230769,0.230769230769231,0.144230769230769,0.00961538461538462,0.115384615384615,0.298076923076923,0.0576923076923077
"29","football",0.0325283934281619,0.320432241702503,0.404675267394421,0.00672621016650127,0.108722020068365,0.111809460800529,0.0151064064395192
"30","four-wheeled, all-terrain vehicles",0.0810185185185185,0.3125,0.18287037037037,0.0277777777777778,0.143518518518519,0.101851851851852,0.150462962962963
"31","go-carts",0.0416666666666667,0.3125,0.291666666666667,0.0208333333333333,0.03125,0.0833333333333333,0.21875
"32","golf",0.136363636363636,0.154545454545455,0.136363636363636,0.0545454545454545,0.118181818181818,0.318181818181818,0.0818181818181818
