activity,cramer's v,l.ci,u.ci,chi square,p-value
acrobatics/gymnastics,0.327736825,0.274857426,0.368321441,135.6606315,8.25E-27
all-terrain vehicles (number of wheels not specified),0.325535388,0.117945096,0.412821269,16.84975293,0.009851578
altar,0.22934763,0,0.27958633,3.576822816,0.733722288
ball pits,0.381420436,0.296887602,0.440901593,78.56003645,7.08E-15
ball sports (not specified),0.458524465,0.256653855,0.565401349,26.91131963,0.000150453
banisters,0.426585006,0,0.551900791,11.10046079,0.085320753
baseball,0.093589572,0.054132103,0.114963319,28.61567921,7.19E-05
basketball,0.085385773,0.06211337,0.1006534,55.83970296,3.14E-10
bathroom stall door,0.524208202,0.198073015,0.663754297,17.31203704,0.008202348
benches,0.278182553,0,0.362166153,8.976721833,0.174891457
bicycle pumps,0.143098636,0.066039607,0.179389606,20.55912858,0.002200882
bleachers,0.265893759,0,0.344154559,10.95842113,0.089670009
bounce house,0.331573305,0.221939006,0.398183326,41.11788046,2.74E-07
bouncy balls,0.514194716,0.251044022,0.64207771,21.9448851,0.001239035
bowling,0.470190813,0.369734798,0.541675112,83.5680133,6.53E-16
bridles (horseback riding),0.190747822,0.107277246,0.235086216,27.14300969,0.000136141
built-in swimming pools,0.498760417,0.22309307,0.626463081,19.90095625,0.002884066
ceilings and walls,0.454859764,0.271882359,0.556384013,30.62081592,2.99E-05
cheerleading,0.23368897,0.111538132,0.292293725,21.35271906,0.001585166
cleats,0.531039823,0.310967336,0.651313895,29.32834259,5.27E-05
"climbing apparatus, playground",0.321777518,0.292314349,0.346957372,377.8202746,1.63E-78
dancing,0.411178299,0.308500819,0.480670272,64.41475328,5.68E-12
deer/tree stands,0.482469056,0.248096237,0.599933076,23.51041538,0.000642369
diving board,0.261694057,0,0.34134938,7.396248196,0.285750714
fence/fence post,0.456368901,0.256316586,0.562540008,27.07543459,0.00014017
field hockey,0.436196127,0.220963776,0.543089736,23.02231445,0.000789039
fishing,0.324276665,0.164298055,0.403743449,23.02902292,0.000786816
flying discs or boomerangs,0.294419248,0,0.380575849,11.35543283,0.077993203
football,0.094456122,0.07392103,0.108990287,81.15413905,2.06E-15
"four-wheeled, all-terrain vehicles",0.198536657,0.07971965,0.250764995,18.09231306,0.006005594
go-carts,0.380663872,0.14987089,0.48120829,17.82331294,0.006689253
golf,0.218105345,0,0.281538417,11.74977561,0.067789542
