"activity","cramer's v","l.ci","u.ci","chi square","p-value"
"acrobatics/gymnastics",0.286578765561479,0.232532883646268,0.326437728136424,103.398382588263,4.89847344426442e-20
"all-terrain vehicles (number of wheels not specified)",0.359462422657189,0.16180017552136,0.451324506767437,20.0280511618993,0.00273773566919567
"altar",0.270476730592823,0,0.345283296440028,4.68209035469967,0.58518450034335
"ball pits",0.353342851609734,0.267126542207834,0.412155269890397,66.9202275400624,1.74753632514896e-12
"ball sports (not specified)",0.398504459014002,0.176349672244288,0.500847316950386,19.6919196779013,0.0031414940665671
"baseball",0.046248644633659,0,0.060304318940886,6.97935185665991,0.322760953687338
"basketball",0.0599552586270151,0.0339718330036191,0.0738291845046452,27.516915898482,0.000115829433966958
"benches",0.292262441997954,0,0.379934588096996,9.56674152029203,0.144123447069557
"bicycle pumps",0.139691490469528,0.0612368722878711,0.17566163702925,19.5137125095983,0.0033785401104726
"bleachers",0.272440148396316,0,0.352345004041967,11.2077688031892,0.0821634572872581
"bounce house",0.323916588520027,0.212736762975429,0.39038529492704,38.8211238378275,7.75927674374315e-07
"bouncy balls",0.484226957965443,0.200235311988271,0.610767880097091,18.5235839988169,0.00504865838161838
"bowling",0.450544303889184,0.348627817752576,0.521797335327841,75.9183234928542,2.48325183444803e-14
"bridles (horseback riding)",0.198416893044014,0.115961660309043,0.243415146853718,29.2119934763678,5.54662488777388e-05
"built-in swimming pools",0.528074289815998,0.250437524365207,0.660788687215036,21.193546622915,0.00169332971534931
"ceilings and walls",0.417574800831735,0.224323988841509,0.517134217225004,25.1090948577115,0.000325931838057132
"cheerleading",0.194969460088512,0.0522782125818481,0.249051172827637,14.7110659721087,0.0226270249799424
"cleats",0.509529670300884,0.279366111197191,0.629706062389301,25.9620484916928,0.000226296025139666
"climbing apparatus, playground",0.301928820409985,0.272292925160574,0.326990074895454,332.281890905732,9.79615009384034e-69
"dancing",0.333367459423891,0.224465835579611,0.399880176635058,41.8974663520328,1.92650555651778e-07
"deer/tree stands",0.544962506018664,0.316282003140487,0.669148813824019,28.8074608977158,6.61588075592335e-05
"diving board",0.324416354475713,0,0.419932768557872,10.9455809893364,0.0900729491859759
"fence/fence post",0.46279366473158,0.259446843942971,0.57057401523329,26.9864249905764,0.000145657963349975
"field hockey",0.382015709125074,0.141352973687205,0.484096203352686,17.074512236145,0.00901326670997922
"fishing",0.340091491016151,0.181595003288234,0.42142845201127,24.8673777862416,0.0003613083526477
"flying discs or boomerangs",0.306397236465242,0,0.395276974633591,11.9226668472193,0.0637164157330447
"football",0.0822275114112933,0.0611008807903825,0.0963839168127713,61.4743181502756,2.25713991956178e-11
"four-wheeled, all-terrain vehicles",0.211026843816513,0.0960678134548344,0.26478116071765,20.2622096090774,0.00248687940593009
"go-carts",0.407209876622359,0.180594719704446,0.511729107048858,19.7325661506368,0.00308974286964568
"golf",0.234553691309684,0.0393937089364442,0.3010466125032,13.3687504880007,0.0375398908280748
"golf carts",0.242032729718154,0,0.312081252939615,12.0674475044931,0.0604809374481226
"hockey (not specified)",0.222683055818711,0.120307917697187,0.275622116584914,25.3393368512158,0.000295417933462594
"ice hockey",0.217834483001395,0.125776677667726,0.267642487977877,28.5185690526754,7.50189405254192e-05
"ice skating",0.247970464353496,0.180332610324462,0.292335149858671,55.7708415308615,3.23864415323232e-10
"in-line skating",0.496334302800602,0.376118344863616,0.57853135504863,67.745628537554,1.18447157912664e-12
"jujitsu",0.148042550620184,0.0523887069011824,0.187886806321167,16.6127803699502,0.0108168000394815
