"activity","cramer's v","l.ci","u.ci","chi square","p-value"
"acrobatics/gymnastics",0.24858671293233,0.193039602377715,0.287572694660421,77.4913737235115,1.17702814470561e-14
"all-terrain vehicles (number of wheels not specified)",0.325945961367254,0.10673276267529,0.41461069294953,15.9361154597435,0.0141010001986529
"altar",0.270441519487785,0,0.341729339801875,4.31517831230887,0.634106472870999
"ball pits",0.307592194321232,0.218057371129792,0.364894015271992,50.2394807019033,4.20900264324825e-09
"baseball",0.0435865340384334,0,0.0566860637954215,6.18950262341729,0.402300343384879
"basketball",0.0530837965896805,0.025541016117335,0.0663573376687333,21.5568543718655,0.00145630519734767
"benches",0.274977751882829,0,0.358560590477562,8.09056575126721,0.231543054428504
"bicycle pumps",0.120479024226584,0.0303831852983593,0.154042014663536,14.4426193021969,0.0250642922307893
"bleachers",0.233466807443548,0,0.30446467081774,7.95798552597086,0.241197586970429
"bounce house",0.292338502724125,0.176224976942786,0.357172193091163,31.1935570638688,2.32807276439533e-05
"bowling",0.413206724963516,0.308624578133154,0.48365598320527,63.0029852978225,1.10220689282971e-11
"bridles (horseback riding)",0.174559482832487,0.0867922137454155,0.217670260504924,22.4571366154513,0.00100025458894687
"built-in swimming pools",0.502915940076404,0.199980484525267,0.635483532645627,17.9576354375883,0.0063389429338333
"ceilings and walls",0.394526332281063,0.190411522777649,0.493071219816127,21.6354927339776,0.00140945227495205
"cheerleading",0.170056335739133,0,0.220045039853678,11.0471180981579,0.0869310610848019
"cleats",0.464013740414656,0.213126195603238,0.581872077035589,20.454331372892,0.00229794952269031
"climbing apparatus, playground",0.275848722991186,0.245947004905956,0.300726613979028,276.976765432161,6.97152808093226e-57
"dancing",0.257567093785971,0.136858986384955,0.319319556828877,24.6787805021026,0.000391513480926893
"deer/tree stands",0.521339369759665,0.27935541080317,0.645805630270062,25.0051159384493,0.000340710657053139
"diving board",0.341213911645033,0,0.440806289557838,11.5262664165103,0.0734110591865053
"fence/fence post",0.426472715315441,0.208694935137106,0.532444963061508,22.0073562059316,0.00120716234423786
"fishing",0.301646123244179,0.129281987049418,0.379787332926521,19.107980570331,0.00398510441397714
"flying discs or boomerangs",0.277358190609461,0,0.360728646394258,9.3851630395748,0.15304724544991
"football",0.0687694282095209,0.0466676500331435,0.0823605759249406,42.9745516866751,1.18003899119717e-07
"four-wheeled, all-terrain vehicles",0.184174113712135,0.0547312619770067,0.234812120244126,15.2640468727426,0.0182995043780388
"go-carts",0.390831030204183,0.148948872787174,0.494720908645829,17.4133739354328,0.00787827316889026
"golf",0.20341819166741,0,0.264228866511616,9.84819264689488,0.131192253849746
"golf carts",0.217222663921714,0,0.282445753926382,9.48432282997047,0.148115982909276
"hockey (not specified)",0.218579920467107,0.114582360026746,0.271329230340133,24.1752539054918,0.000484875516435233
"ice hockey",0.188398971508683,0.0892080977849761,0.235774527926861,21.1545267894557,0.00172092872573075
"ice skating",0.207927428351573,0.136771633405847,0.250521071583313,38.9969015457305,7.16761804569675e-07
"in-line skating",0.472464160206606,0.349596620213262,0.554443532417703,60.2700433235281,3.96682011055495e-11
"jujitsu",0.138234946413006,0.0343980187190624,0.176783962219902,14.3890020085845,0.0255801331904614
"knee boarding",0.396734386960679,0.155751548597291,0.501580958541134,17.7859936390684,0.0067898656425574
"lacrosse",0.202209858424824,0.0910523725288912,0.253885410170208,20.0355251536519,0.00272935990009943
"lawn chair",0.426497050899921,0,0.550417097761249,11.8234827377115,0.0660245450266826
"loading docks",0.40086368847269,0,0.519738017565711,10.4449602878354,0.10712154683432
"mountain climbing",0.404930642402282,0.236549667100544,0.496803697591667,29.1864508778259,5.6087631776927e-05
"mountain/all-terrain biking",0.230740817073934,0,0.297837838380171,11.7663327507322,0.0673893141216801
"other ball sports",0.248911558446581,0.125188251438674,0.310092452385455,22.8001627256165,0.000866247429077439
"paddle ball",0.361973582168334,0,0.470013344729512,9.95789043827094,0.126436582255867
"patios/flooring",0.2471393473086,0,0.32085758675466,10.0167685460518,0.123947633517374
"pet cages",0.521022692849982,0.138154644076286,0.665671328028066,14.6590909090909,0.0230805584400826
"play sand (for sandboxes)",0.296784217413889,0.229702076939426,0.343696817085805,76.0137922822559,2.37330121427771e-14
"pole vault",0.261227529055394,0.127031359951896,0.326291971559551,21.8367430196437,0.00129617016170036
"poles",0.304525918164558,0,0.397218548021198,7.32614675188339,0.291735402075632
"punching bags",0.320943985714473,0.200175966807163,0.390168802843889,33.7856537649437,7.39981448604635e-06
"rodeo",0.185030570130743,0.064245880855959,0.234972134184876,16.4334297037957,0.011607294791065
"rolling skating",0.342271755924852,0.302256424506091,0.375122954493671,241.328907101996,2.92025263019696e-49
"rope or string",0.508298185413661,0.240976997610587,0.636067291062828,21.1860977141753,0.00169856470750731
"rugby",0.249280607152192,0.12166670337711,0.311284128548837,21.9357098490645,0.00124378520152879
"seesaw",0.50227470955527,0.267187741341963,0.622622350278465,24.7234286181655,0.000384145552203384
"skateboarding",0.207406551085502,0.141918548003103,0.247973884620794,44.1789493238787,6.81200586612811e-08
"skating (not specified)",0.534181513166831,0.389191744402048,0.629448263383314,56.2139281348134,2.63497644983922e-10
"sleds",0.223213256379488,0.0726961551867617,0.283975188680136,15.8939063457076,0.0143348859099766
"slides",0.35171629406393,0.304808967316169,0.389265025605482,190.25729262248,2.24324386670348e-38
"snow skiiing",0.170300721275298,0.115671181329248,0.203923141883915,43.0974708009937,1.11576011120009e-07
"snow tubing",0.453359907286921,0,0.584012001232585,12.3321123321123,0.0549568849863592
"snowboarding",0.222184440223129,0.178498097976996,0.254031784941529,96.2635546806672,1.50837569439506e-18
"snowmobiles",0.355708914907645,0.123711417380698,0.451684042871785,16.4487481788206,0.0115376609771991
"soccer",0.0544228518753772,0.0247060439248857,0.0682964314210579,20.2027570654261,0.00254835898514028
"softball",0.11251103785074,0.0605853059511658,0.139302977217167,25.2035386737571,0.00031305672936294
"stairs",0.259550458398038,0.0986462818483652,0.328568641732786,17.380541637295,0.00798188975948836
"stretching exercise",0.138440812455944,0.0710412991536131,0.172176792476638,23.4398450108839,0.000661785435341985
"swimming pools (not specified)",0.266200958504776,0.0157402589645879,0.34249994103887,12.6844681052862,0.0483294160946606
"swimsuit",0.26351379670223,0,0.342128695399034,9.9992910315491,0.124681878857361
"swings",0.293538133322393,0.226819028918746,0.340115491857012,75.3078916143812,3.31701439040911e-14
"tennis",0.200038230080185,0.0657640175431139,0.254424391842112,15.9661021039516,0.0139370724285516
"trampolines",0.362560153994707,0.240179572650953,0.436260360380228,39.8293091751936,4.92083174866714e-07
"treadmills",0.321898392541964,0.145414716720494,0.404082587570803,20.1020035734935,0.00265595288211901
"two-wheeled, powered, off-road vehicles",0.194627646833651,0.120382423629241,0.236904975240358,33.1070508770919,1.0000026325881e-05
"volleyball",0.244887977772171,0.156625469526762,0.296500831432092,36.0420431160634,2.70524234824693e-06
"water slides",0.436094642837849,0.14001126799041,0.555015199662208,15.7848186134853,0.0149567361779644
"water tubing",0.253448438762426,0,0.329810280257517,6.29513888888889,0.390953406533602
"weight lifting",0.359868229796863,0.247473612370855,0.429814909940031,44.9382845575433,4.81423957763955e-08
"windsurfing",0.227146102562861,0.0097668809819491,0.292294212768424,12.640861217827,0.0491071413828178
"wrestling",0.192916369762702,0.103086625246725,0.239035629466922,24.8979895082987,0.000356627132726555
