"activity","cramer's v","l.ci","u.ci","chi square","p-value"
"acrobatics/gymnastics",0.266560479477789,0.211796876331549,0.305986350933993,89.315492948822,4.20333846931335e-17
"all-terrain vehicles (number of wheels not specified)",0.302739196367616,0.0678122485218138,0.387653780332802,14.0226062156485,0.0293846568010255
"altar",0.178369288385682,0,0.136136733355988,1.97256738843129,0.922204194608583
"ball pits",0.321738002086356,0.233492333492788,0.379500357411954,55.2771926208016,4.07486091843194e-10
"ball sports (not specified)",0.396267330417141,0.170314435682525,0.498843249657925,19.1573912530232,0.00390591822061269
"banisters",0.450723694712053,0,0.582981720804425,11.1733516936186,0.0831642880798208
"baseball",0.0460502593841547,0,0.0600370184521931,6.91536265566359,0.328745438550135
"basketball",0.0572019718461475,0.0306772538055284,0.0708515105960388,25.0411179073682,0.000335520358444086
"bathroom stall door",0.50881929734382,0.137757621352738,0.649861167247956,14.7571334089191,0.0222321524520343
"benches",0.236244419126805,0,0.307178964968491,6.13925681254176,0.407772765608805
"bicycle pumps",0.120927595395442,0.031602726834186,0.154534709881183,14.5942363614674,0.0236586287702707
"bleachers",0.198423993385548,0,0.257536481004984,5.86644009150916,0.438316805888742
"bounce house",0.292666425980937,0.177242979396061,0.357338837792462,31.5205383778954,2.01593879165908e-05
"bouncy balls",0.466936369262759,0.168170559201277,0.59227095505213,16.7882771164021,0.0100936767130145
"bowling",0.429316992980278,0.326084357319668,0.500078105390148,68.5644659317256,8.05093394202475e-13
"bridles (horseback riding)",0.172752436474658,0.0847732601591479,0.215636665384865,22.0841191878687,0.00116909720411288
"built-in swimming pools",0.461428120172277,0.147573613724871,0.587301229958189,15.7557773463434,0.0151265999192432
"ceilings and walls",0.403479446051447,0.204997183038585,0.502236861120087,23.1169842008095,0.000758229400179181
"cheerleading",0.171929255006678,0,0.222225083132433,11.3804724599533,0.0773055740124469
"cleats",0.461727767601592,0.216237612312688,0.578263374025945,20.8928680746863,0.00191771417355503
"climbing apparatus, playground",0.286405799350023,0.256621182909534,0.311360680602205,298.829030966529,1.45770320011986e-61
"dancing",0.304755582442137,0.192391038105836,0.369784204883693,34.8284868861172,4.65207633444319e-06
"deer/tree stands",0.474082413566098,0.226276263961249,0.592973278172727,21.3516428110024,0.00158587396961318
"diving board",0.264331503883321,0,0.344727772853527,7.12685668241224,0.309274823893159
"fence/fence post",0.413906095315167,0.196692677665609,0.517867438196903,21.243463711642,0.00165865393815503
"field hockey",0.394853755512804,0.156691979116412,0.498974525206775,17.929591147895,0.00641058039813329
"fishing",0.292298426663771,0.118253489421516,0.369065198181109,18.1983728590147,0.00575511022210012
"flying discs or boomerangs",0.238302383247067,0,0.310770757800099,7.09850323265401,0.311833726474275
"football",0.0746087171354124,0.0529876619759127,0.0884692945119476,50.599127513861,3.56478713125878e-09
"four-wheeled, all-terrain vehicles",0.175483194813056,0.0383639876230926,0.224762595017509,13.949841302794,0.0302015105485909
"go-carts",0.381355301429244,0.140351884452212,0.483351155277887,17.0155283135982,0.00922634459283788
"golf",0.176226357360074,0,0.229866732577445,7.4844306958445,0.278358046008516
"golf carts",0.180650558130769,0,0.235383858058886,6.65746332720353,0.353688995353889
"hockey (not specified)",0.211045240139578,0.105688145320828,0.263011872611947,22.6709075332562,0.000914534382618455
"ice hockey",0.194301498408552,0.0971194656743242,0.24218330413604,22.6140902980013,0.000936587111071255
"ice skating",0.223840324122852,0.154326968271066,0.267198857575918,45.3445640865981,3.99739980979741e-08
"in-line skating",0.477018313955727,0.355241257601279,0.558807043688794,62.1201868148219,1.66761087505715e-11
"jujitsu",0.134048670849815,0.0252998380978215,0.171915807625081,13.5845988943911,0.0346367603348326
"knee boarding",0.342500215045768,0.0653305751920737,0.439219803965265,13.6075420875421,0.0343409505182678
"lacrosse",0.211300830018936,0.103413489226675,0.263806003512049,22.0114840979789,0.00120508484563744
"lawn chair",0.390385589877351,0,0.50628131187219,10.3632617973043,0.11016445754423
"loading docks",0.352998015297151,0,0.460048152858607,8.47331671865347,0.205435890683876
"mountain climbing",0.392215113908466,0.223647522961018,0.482615736554956,27.8437178996599,0.0001005484650183
"mountain/all-terrain biking",0.217139145730748,0,0.281418322559833,10.5614675283441,0.102912802735447
"other ball sports",0.271163330540733,0.152929276353752,0.334086465940008,27.2794637289087,0.000128350516273475
"paddle ball",0.351788290725268,0,0.4570359782904,9.77664511782104,0.134378602762505
"patios/flooring",0.238993244206621,0,0.310708272558038,9.53866771965972,0.145472693777846
"pet cages",0.490224301029504,0.0973875248112954,0.628450081728671,13.6982323232323,0.0331948577634813
"play sand (for sandboxes)",0.323572788147764,0.257685922744413,0.371129913805099,90.6696364329356,2.19950919774979e-17
"pole vault",0.277490211485706,0.148184326629527,0.343855325298766,24.8712640429334,0.000360710719084502
"poles",0.291468871535432,0,0.380037100097321,6.96623645207931,0.323980932812182
"punching bags",0.311572122944314,0.190294892872084,0.379962506328845,32.1325491604849,1.53901060773634e-05
"rodeo",0.185843053971652,0.0662284389500197,0.235807327324323,16.6816804626935,0.0105271354374913
"roller hockey",0.333564977964599,0,0.433031419984784,5.89707650979972,0.43481796477032
"rolling skating",0.363866599365181,0.324124791278776,0.396891285905539,273.138935101577,4.62030781841012e-56
"rope or string",0.490837466959088,0.225707308715027,0.615461181045591,20.4783206125192,0.00227536703986961
"rugby",0.220861234550146,0.0838353767223561,0.279612695803944,17.3655678340173,0.00802958270967197
"seesaw",0.49353152891192,0.261700294247107,0.611978629433457,24.6009103730438,0.000404698212809853
"skateboarding",0.219935929582137,0.155584617584075,0.261038229860125,49.8229675147935,5.10130159784817e-09
"skating (not specified)",0.531837426229841,0.388040421425131,0.626451927867361,56.5702095877562,2.23205421321105e-10
"sleds",0.20694965531874,0.0426872585413412,0.265213390287524,13.7906674673676,0.0320639679726404
"slides",0.357709445686944,0.310942983273213,0.395295870995161,197.180269249371,7.55605292283627e-40
"snow skiiing",0.175914831071955,0.121840127230485,0.209783074741505,46.0786353809097,2.85572647604989e-08
"snow tubing",0.382268061873957,0,0.497406290561662,9.20611888111888,0.162313616877739
"snowboarding",0.235511707225562,0.192275430593964,0.267629945588158,108.324637561304,4.57089831009165e-21
"snowmobiles",0.325889853561763,0.0753996882938417,0.417142543150134,14.1251581550495,0.0282689001463683
"soccer",0.0600230559030686,0.031815766693992,0.074431486986848,24.5852836453704,0.000407396275925477
"softball",0.102944590901124,0.0486984529060775,0.128841489143329,21.1315920588246,0.00173735555806619
"stairs",0.250921663853183,0.0871134060779437,0.318647879791655,16.4329988430117,0.0116092592134837
"standup scooter (unpowered)",0.528809818144258,0.371187805420414,0.628749378633293,48.3776895114771,9.9309010597961e-09
"stretching exercise",0.143216498010772,0.0770100435332998,0.177348480846048,25.1464434608275,0.000320779066544358
"swimming pools (not specified)",0.232888369618759,0,0.302487094403832,9.87113267207044,0.130184858082969
"swimsuit",0.212422645224151,0,0.27676231418736,6.63313688999173,0.35610990777354
"swings",0.311672761166301,0.245832835789884,0.358681302989569,85.191701116504,3.01263078249523e-16
"tennis",0.207618264823243,0.0785578326268157,0.262876980348895,17.3283482430622,0.00814932780541336
"trampolines",0.36454570791271,0.243143364855546,0.438085185819231,40.6654333862192,3.36999256366273e-07
"treadmills",0.331520427215586,0.160086592620993,0.414303397509803,21.6514413512574,0.00140013179432479
"two-wheeled, powered, off-road vehicles",0.200665325379064,0.127356421665159,0.243271148389901,35.3137843539187,3.7463096065013e-06
"volleyball",0.255085537501372,0.168228831614421,0.307190813310869,39.3014533911877,6.24677278780765e-07
"water slides",0.40177262900955,0.0857929935164171,0.514732900852925,13.8822271062271,0.0309797802052221
"water tubing",0.169765903365375,0,0.192819920415243,2.91086665649166,0.819948030521372
"weight lifting",0.363866576056534,0.252417603269048,0.433771475563967,46.339609809887,2.53361527068542e-08
"windsurfing",0.199292009523868,0,0.258859821867614,9.84989165489529,0.13111740741672
"wrestling",0.191128190218119,0.101210164045856,0.237026996662043,24.5481499845479,0.000413878910433248
