,cramer's v,l.ci,u.ci,chi square,p-value
acrobatics/gymnastics,0.45508514,0.404451643,0.497025077,264.0556684,4.05E-54
all-terrain vehicles (number of wheels not specified),0.439911576,0.272053708,0.5354809,33.09229527,1.01E-05
altar,0.32522983,0,0.423858991,8.461955389,0.206173982
ball pits,0.513225202,0.433618099,0.574894873,145.3968597,7.27E-29
ball sports (not specified),0.622750409,0.45004105,0.735327184,54.29453004,6.43E-10
banisters,0.544539648,0.262916195,0.680541603,21.64621027,0.001403182
baseball,0.114738764,0.077971196,0.137376982,43.16798243,1.08E-07
basketball,0.121900938,0.100171309,0.138168059,113.9898234,2.97E-22
bathroom stall door,0.716622063,0.469384606,0.864092429,38.51603862,8.90E-07
benches,0.379913237,0.156594586,0.479267839,18.47476067,0.005149068
bicycle pumps,0.250649105,0.187711255,0.293160993,63.83017339,7.48E-12
bleachers,0.335546401,0.141207772,0.422875915,18.80276161,0.004510036
bounce house,0.458093269,0.35839499,0.528641631,81.00188486,2.22E-15
bouncy balls,0.647632453,0.429086636,0.779264928,39.84564047,4.88E-07
bowling,0.628479508,0.534124313,0.702112283,154.044732,1.08E-30
bridles (horseback riding),0.312578397,0.240820689,0.36251437,74.0605829,5.99E-14
built-in swimming pools,0.544188797,0.306702576,0.670521089,27.24501307,0.000130275
ceilings and walls,0.602058198,0.441748523,0.708134815,57.99585171,1.15E-10
cheerleading,0.337792221,0.233823816,0.402877993,45.98374447,2.98E-08
cleats,0.632372724,0.43880796,0.753813611,46.38785033,2.48E-08
"climbing apparatus, playground",0.450952123,0.422202079,0.476662804,744.4929678,1.51E-157
dancing,0.535549639,0.439467466,0.607355041,112.7176725,5.50E-22
deer/tree stands,0.518721711,0.309033211,0.634784535,30.40516016,3.29E-05
diving board,0.206258714,0,0.26544543,5.105118869,0.530403365
fence/fence post,0.550442395,0.373672054,0.659186211,43.02412983,1.15E-07
field hockey,0.592956163,0.412381208,0.706478258,46.76240255,2.09E-08
fishing,0.46711589,0.331427849,0.554027464,50.40356588,3.90E-09
flying discs or boomerangs,0.365414047,0.156482044,0.460092004,19.09442183,0.004007106
football,0.155315071,0.136192889,0.170865364,219.7102,1.20E-44
"four-wheeled, all-terrain vehicles",0.317500877,0.221735768,0.377936906,47.48000609,1.50E-08
go-carts,0.541080937,0.357518049,0.651372179,39.52375831,5.65E-07
golf,0.313503802,0.169861442,0.387925699,25.45572017,0.000281083
golf carts,0.28890573,0.1195096,0.364404207,18.52956766,0.005036484
hockey (not specified),0.339703554,0.251844215,0.398443803,60.81501182,3.07E-11
ice hockey,0.368543402,0.289933,0.424510526,83.80355572,5.84E-16
ice skating,0.418124402,0.356971938,0.466128611,161.3662582,3.04E-32
in-line skating,0.635768086,0.524464926,0.719477754,117.6225083,5.14E-23
jujitsu,0.25804157,0.184120346,0.305640855,51.5371396,2.31E-09
knee boarding,0.410428012,0.20485959,0.511630261,22.57245446,0.000953078
lacrosse,0.394884369,0.308102097,0.456105368,79.68210256,4.16E-15
lawn chair,0.518673493,0.26367992,0.645588163,23.13590855,0.000752214
loading docks,0.457810291,0.182938161,0.578355432,18.02476257,0.006170609
mountain climbing,0.531362097,0.387093069,0.626153551,56.18678995,2.67E-10
mountain/all-terrain biking,0.382981349,0.243545369,0.464142743,35.49528068,3.45E-06
other ball sports,0.499443286,0.401696837,0.570792191,97.03355885,1.04E-18
paddle ball,0.570545102,0.345803282,0.696550874,31.57560622,1.97E-05
patios/flooring,0.44385138,0.285061934,0.537028664,36.44574885,2.26E-06
pet cages,0.658452626,0.404205522,0.802390206,32.51698959,1.30E-05
play sand (for sandboxes),0.528928959,0.467922285,0.579142927,247.3130055,1.54E-50
pole vault,0.482278064,0.375997107,0.557194686,79.31391661,4.95E-15
poles,0.497546976,0.26490102,0.616712829,24.75529935,0.00037897
punching bags,0.43911744,0.332326303,0.512034317,67.29562014,1.46E-12
rodeo,0.357507975,0.267912686,0.418069262,64.03378788,6.79E-12
roller hockey,0.465803189,0.141591234,0.59358413,15.40505536,0.017329758
rolling skating,0.559514222,0.521232959,0.593486647,651.4698787,1.83E-137
rope or string,0.642695893,0.43480865,0.770188961,42.54497509,1.44E-07
rugby,0.25071027,0.128920755,0.311755438,23.50800916,0.000643022
seesaw,0.612059007,0.419920852,0.731382978,44.57933114,5.67E-08
skateboarding,0.396304175,0.338986956,0.441407082,164.5957347,6.29E-33
skating (not specified),0.666234103,0.535642616,0.761525851,96.76319795,1.19E-18
sleds,0.338113155,0.222154797,0.407460795,38.86897199,7.59E-07
slides,0.514303074,0.469379122,0.552952304,412.3674287,6.13E-86
snow skiiing,0.321309601,0.273338712,0.358791877,155.5824688,5.10E-31
snow tubing,0.447828737,0.152253133,0.569046378,16.24459676,0.012499624
snowboarding,0.411449944,0.371154466,0.445535202,333.6726721,4.93E-69
snowmobiles,0.447567403,0.265999724,0.547888161,30.24780355,3.53E-05
